+-----------+-----------------------------------------------------------------------------------------------------+---------------------------+--------------+----------------+
|     ID    |                                                 Name                                                |           Domain          | Seller type  | Direct domain? |
| 540762928 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762929 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762930 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762931 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762932 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762933 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762934 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762935 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762936 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762937 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762938 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762939 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762940 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762941 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762942 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762943 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762944 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762945 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762946 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762947 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762948 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762949 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762950 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762951 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762952 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762953 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762954 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762955 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762956 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762957 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762958 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762959 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762960 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762961 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762962 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762963 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762964 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762965 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762966 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762967 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762968 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762969 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762970 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762971 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762972 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762973 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762974 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762975 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762976 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762977 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762978 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762979 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762980 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762981 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762982 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762983 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762984 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762985 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762986 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762987 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762988 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762989 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762990 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762991 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762992 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762993 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762994 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
